-183.800, 80.200, 0.000,  0.000
-183.800, 80.200, 0.000,  0.016
-183.800, 80.200, 0.000,  0.049
-183.800, 80.200, 0.000,  0.082
-183.800, 80.200, -0.012,  0.115
-183.800, 80.199, 0.031,  0.148
-183.800, 80.198, 0.030,  0.181
-183.800, 80.196, 0.034,  0.214
-183.800, 80.193, 0.102,  0.247
-183.799, 80.186, 0.242,  0.280
-183.798, 80.174, 0.345,  0.313
-183.796, 80.158, 0.492,  0.346
-183.794, 80.138, 0.611,  0.379
-183.791, 80.110, 0.878,  0.412
-183.787, 80.073, 1.124,  0.445
-183.782, 80.029, 1.330,  0.478
-183.776, 79.979, 1.489,  0.511
-183.771, 79.927, 1.575,  0.544
-183.765, 79.873, 1.637,  0.577
-183.759, 79.818, 1.654,  0.610
-183.752, 79.764, 1.657,  0.643
-183.746, 79.710, 1.638,  0.676
-183.740, 79.657, 1.620,  0.709
-183.733, 79.604, 1.612,  0.742
-183.727, 79.552, 1.617,  0.775
-183.720, 79.498, 1.632,  0.808
-183.714, 79.444, 1.644,  0.841
-183.707, 79.390, 1.652,  0.874
-183.700, 79.335, 1.660,  0.907
-183.693, 79.281, 1.669,  0.940
-183.686, 79.225, 1.677,  0.973
-183.678, 79.170, 1.684,  1.006
-183.671, 79.114, 1.691,  1.039
-183.663, 79.058, 1.696,  1.072
-183.656, 79.002, 1.698,  1.105
-183.648, 78.946, 1.700,  1.138
-183.640, 78.890, 1.704,  1.171
-183.632, 78.834, 1.708,  1.204
-183.624, 78.777, 1.714,  1.237
-183.616, 78.721, 1.719,  1.270
-183.608, 78.664, 1.723,  1.303
-183.600, 78.607, 1.728,  1.336
-183.591, 78.550, 1.734,  1.369
-183.583, 78.492, 1.739,  1.402
-183.574, 78.435, 1.745,  1.435
-183.566, 78.377, 1.751,  1.468
-183.557, 78.319, 1.758,  1.501
-183.548, 78.261, 1.765,  1.534
-183.540, 78.202, 1.771,  1.567
-183.531, 78.144, 1.777,  1.600
-183.522, 78.085, 1.783,  1.633
-183.513, 78.026, 1.788,  1.666
-183.503, 77.967, 1.790,  1.699
-183.494, 77.908, 1.792,  1.732
